Transaction Event,Transaction Thread Id,Transaction TimeNs,ValidIndex Event,ValidIndex Thread Id,ValidIndex TimeNs,Position Event,Position Thread Id,Position TimeNs,State Event,State Thread Id,State TimeNs,Name Event,Name Thread Id,Name TimeNs,ComplexComponent Event,ComplexComponent Thread Id,ComplexComponent TimeNs
TransactionStart,Main,1117786187984900,WriteLock,Main,1117786187989600,WriteLock,Main,1117786187989800,WriteLock,Main,1117786187989900,WriteLock,Main,1117786187990000,WriteLock,Main,1117786187990100
TransactionEnd,Main,1117786188372200,CommitLock,Main,1117786188308000,CommitLock,Main,1117786188307600,CommitLock,Main,1117786188307700,CommitLock,Main,1117786188307800,CommitLock,Main,1117786188307900
TransactionStart,PositionUpdate,1117786192687300,WriteUnlock,Main,1117786188372100,WriteUnlock,Main,1117786188371900,WriteUnlock,Main,1117786188366300,WriteUnlock,Main,1117786188361800,WriteUnlock,Main,1117786188324800
TransactionEnd,PositionUpdate,1117786192690900,ReadLock,PositionUpdate,1117786192687900,WriteLock,PositionUpdate,1117786192688200,ReadLock,PositionUpdate,1117786192688400,ReadLock,Print,1117786192699500,WriteLock,Print,1117786192699700
TransactionStart,Print,1117786192698500,ReadUnlock,PositionUpdate,1117786192690900,CommitLock,PositionUpdate,1117786192690100,ReadUnlock,PositionUpdate,1117786192690100,ReadUnlock,Print,1117786193195000,WriteLockWait,StateUpdate,1117786192756300
TransactionStart,StateUpdate,1117786192754900,ReadLock,Print,1117786192699000,WriteUnlock,PositionUpdate,1117786192690800,WriteLock,StateUpdate,1117786192755600,ReadLock,Print,1117787208557900,CommitLock,Print,1117786193191300
TransactionEnd,Print,1117786193195400,ReadLock,StateUpdate,1117786192755400,ReadLock,Print,1117786192699100,WriteUnlock,StateUpdate,1117786192756100,ReadUnlock,Print,1117787208638100,WriteUnlock,Print,1117786193191600
TransactionEnd,StateUpdate,1117786193203800,ReadUnlock,StateUpdate,1117786192755800,ReadUnlock,Print,1117786193195200,WriteLock,StateUpdate,1117786193201100,ReadLock,Print,1117788214429000,WriteLock,StateUpdate,1117786193200600
TransactionStart,StateUpdate,1117786296355400,ReadUnlock,Print,1117786193195300,WriteLock,PositionUpdate,1117786296365300,CommitLock,StateUpdate,1117786193202900,ReadUnlock,Print,1117788214486900,CommitLock,StateUpdate,1117786193203000
TransactionEnd,StateUpdate,1117786296359700,ReadLock,StateUpdate,1117786193201000,CommitLock,PositionUpdate,1117786296366700,WriteUnlock,StateUpdate,1117786193203600,ReadLock,Print,1117789224034200,WriteUnlock,StateUpdate,1117786193203200
